species,start_day,end_day
Agrimonia eupatoria,171,276
Alchemilla conjuncta superaggr.,281,284
Alchemilla vulgaris,165,300
Blue flower,165,300
Centaurea jacea,166,274
Euphrasia rostkoviana aggr.,164,300
Galium verum,164,201
Helianthemum nummularium,280,280
Knautia arvensis,217,217
Lotus corniculatus,212,269
Ononis spinosa,167,272
Pink flower,179,295
Plantago lanceolata,226,280
Prunella vulgaris,186,186
Purple flower,202,279
Ranunculus cf. acris,300,300
Ranunculus sp.,170,290
Salvia pratensis,165,299
Thymus pulegioides,203,224
Thymus sp.,170,294
Trifolium cf. repens,237,296
Trifolium montanum,184,296
Trifolium pratense,177,297
Veronica chamaedrys,207,300
cf. Achillea millefolium,183,290
cf. Asperula cynanchica aggr.,164,287
cf. Centaurea scabiosa,243,294
cf. Cerastium fontanum,268,268
cf. Daucus carota,196,292
cf. Erysimum erythraea,212,243
cf. Galium anisophyllon,223,223
cf. Lamiaceae,164,299
cf. Leontodon hispidus,214,289
cf. Linum catharticum,173,243
cf. Lotus corniculatus,164,282
cf. Ononis spinosa,172,253
cf. Pimpinella saxifraga,165,276
cf. Plantago lanceolata,219,230
cf. Plantago media,226,278
cf. Ranunculus acris,165,233
cf. Teucrium chamaedrys,238,238
cf. Thymus pulegioides,168,288
cf. Thymus sp.,198,264
cf. Trifolium pratense,200,246
cf. Veronica chamaedrys,188,292
